,headline,lyrics,singer,word_count,verse_count,chorus_count,lines_in_chorus_count,avg_line_in_verse_count
10,Do You Want To Know A Secret?,you'll never know how much i really love you you'll never know how much i really care  listen do you want to know a secret  do you promise not to tell   closer let me whisper in your ear say the words you long to hear i'm in love with you  listen do you want to know a secret  do you promise not to tell  closer let me whisper in your ear say the words you long to hear i'm in love with you  i've known a secret for a week or two nobody knows just we two  listen do you want to know a secret  do you promise not to tell  closer let me whisper in your ear say the words you long to hear i'm in love with you,The Beatles,136,4,2,7,3.0
11,A Taste Of Honey,a taste of honey tasting much sweeter than wine  doo doo n'doo doo doo n'doo  i dream of your first kiss and then i feel upon my lips again  a taste of honey  a taste of honey  tasting much sweeter than wine  oh  i will return yes  i will return i'll come back for the honey and you  yours was the kiss that awoke my heart there lingers still though we're far apart  that taste of honey  a taste of honey  tasting much sweeter than wine  oh  i will return yes  i will return i'll come back  he'll come back  for the honey  for the honey  and you,The Beatles,112,8,0,0,3.625
12,There's A Place,there is a place where i can go when i feel low when i feel blue and it's my mind and there's no time when i'm alone  i think of you and things you do go 'round my head the things you said like  i love only you   in my mind there's no sorrow don't you know that it's so  there'll be no sad tomorrow don't you know that it's so   there is a place where i can go when i feel low when i feel blue and it's my mind and there's no time when i'm alone  there's a place,The Beatles,114,3,2,7,3.33333333333
13,Twist And Shout,well  shake it up  baby  now  shake it up  baby  twist and shout  twist and shout  come on  come on  come on  come on  baby now  come on  baby  come on and work it on out  work it on out   well  work it on out  honey  work it on out  you know  you look so good  look so good  you know  you got me goin' now  got me goin'  just like i knew you would  like i knew you would   well  shake it up  baby  now  shake it up  baby  twist and shout  twist and shout  come on  come on  come on  come on  baby  now  come on  baby  come on and work it on out  work it on out   you know you twist you  little girl  twist  little girl  you know you twist so fine  twist so fine  come on and twist a little closer now  twist a little closer  and let me know that you're mine  let me know you're mine   yeah  shake it up  baby  now  shake it up  baby  twist and shout  twist and shout  come on  come on  come on  come on  baby  now  come on  baby  come on and work it on out  work it on out   you know you twist you  little girl  twist  little girl  you know you twist so fine  twist so fine  come on and twist a little closer now  twist a little closer  and let me know that you're mine  let me know you're mine   well  shake it  shake it  shake it  baby  now  shake it up  baby ,The Beatles,265,5,2,4,3.4
14,It Won't Be Long,it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  'til i belong to you  ahh   every night  when everybody has fun here am i  sitting all on my own  it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  'til i belong to you  ahh   since you left me  you left me here on my own  i'm so alone now you're coming you're coming on home  now you're coming on home  i'll be good like i know i should  yes  you should be  you're coming home  aaah  you're coming home  every night  the tears come down from my eye every day  i've done nothing but cry  it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  'til i belong to you  ahh   since you left me  you left me here on my own  i'm so alone now you're coming you're coming on home  now you're coming on home  i'll be good like i know i should  yes  you should be  you're coming home  aaah  you're coming home  so every day  we'll be happy  i know now i know that you won't leave me no more  it won't be long yeah  yeah  yeah  yeah  yeah  yeah  it won't be long  yeah  yeah  yeah  yeah  yeah  it won't be long yeah  yeah  'til i belong to you,The Beatles,293,4,2,7,3.25
15,All I've Got To Do,whenever i want you around  yeah all i gotta do is call you on the phone and you'll come running home yeah  that's all i gotta do  and when i  i wanna kiss you  yeah all i gotta do is whisper in your ear the words you long to hear and i'll be kissing you  and the same goes for me whenever you want me at all i'll be here  yes  i will whenever you call you just gotta call on me  yeah you just gotta call on me  and when i  i wanna kiss you  yeah all i gotta do is call you on the phone and you'll come running home yeah  that's all i gotta do  and the same goes for me whenever you want me at all i'll be here  yes  i will whenever you call you just gotta call on me  yeah you just gotta call on me  oh  you just gotta call on me,The Beatles,178,4,2,6,4.0
16,All My Loving,close your eyes and i'll kiss you tomorrow i'll miss you remember i'll always be true and then while i'm away i'll write home every day and i'll send all my loving to you  i'll pretend that i'm kissing the lips i am missing and hope that my dreams will come true and then while i'm away i'll write home every day and i'll send all my loving to you  all my loving i will send to you all my loving darling  i'll be true  close your eyes and i'll kiss you tomorrow i'll miss you remember i'll always be true and then while i'm away i'll write home every day and i'll send all my loving to you  all my loving i will send to you all my loving darling  i'll be true  all my loving all my loving  ooh all my loving i will send to you,The Beatles,168,2,2,4,5.0
17,Don't Bother Me,since she's been gone i want no one to talk to me it's not the same but i'm to blame  it's plain to see  so go away  leave me alone don't bother me  i can't believe that she would leave me on my own it's just not right when every night i'm all alone  i've got no time for you right now don't bother me  i know i'll never be the same if i don't get her back again because i know she'll always be the only girl for me  but till she's here please don't come near  just stay away i'll let you know when she's come home  until that day  don't come around  leave me alone don't bother me  i've got no time for you right now don't bother me  i know i'll never be the same if i don't get her back again because i know she'll always be the only girl for me  but till she's here please don't come near  just stay away i'll let you know when she's come home  until that day  don't come around  leave me alone don't bother me don't bother me don't bother me don't bother me don't bother me,The Beatles,234,5,2,4,3.6
18,Little Child,little child  little child little child  won't you dance with me  i'm so sad and lonely baby  take a chance with me  little child  little child little child  won't you dance with me  i'm so sad and lonely baby  take a chance with me  if you want someone to make you feel so fine then we'll have some fun when you're mine  all mine so come on  come on  come on  little child  little child little child  won't you dance with me  i'm so sad and lonely baby  take a chance with me wow  when you're by my side you're the only one don't you run and hide just come on  come on yeah  come on  come on  come on  little child  little child little child  won't you dance with me  i'm so sad and lonely baby  take a chance with me baby  take a chance with me baby  take a chance with me,The Beatles,167,4,2,4,4.5
19,Till There Was You,there were bells on a hill but i never heard them ringing no  i never heard them at all till there was you  there were birds in the sky but i never saw them winging no  i never saw them at all till there was you  then there was music and wonderful roses they tell me in sweet fragrant meadows of dawn and dew  there was love all around but i never heard it singing no  i never heard it at all till there was you  then there was music and wonderful roses they tell me in sweet fragrant meadows of dawn and dew  there was love all around but i never heard it singing no  i never heard it at all till there was you  till there was you,The Beatles,130,3,2,4,3.0
20,Please Mister Postman, wait   oh  yes  wait a minute  mr  postman  wait   wai ai ai ait  mr  postman  mr  postman  look and see  oh  yeah  is there a letter in your bag for me   please  please  mr  po o ostman  i've been waiting a long  long time  whoa  yeah  since i heard from that girl of mine   there must be some word today ay ay from my girlfriend so far away please  mr  postman  look and see if there's a letter  a letter for me e  i've been standing here waitin'  mr  postman so o o patiently for just a card or just a letter saying she's returning home to me  please  mr  postman  mr  postman  look and see  oh  yeah  is there a letter in your bag for me   please  please  mr  po o ostman  i've been waiting a long  long time  oh  yeah  since i heard from that girl of mine   so many days you passed me by see the tears standing in my eye you didn't stop to make me feel better by leaving me a card or a letter  mr  postman  mr  postman  look and see is there a letter oh  yeah  in your bag  for me  i've been waiting such a long  a long  long  time since i heard from that girlfriend of mine  you gotta wait a minute  wait a minute oh  yeah  mr  postman  wait a minute  wait a minute oh  yeah  mr  postman  you gotta wait a minute  wait a minute oh  yeah  mr  postman  check it and see one more time for me  you gotta wait a minute  wait a minute oh  yeah  mr  postman  wait a minute  wait a minute oh  yeah  mr  postman  mr  po o ostman  wait a minute  wait a minute  oh  yeah  mr  postman  deliver de letter the sooner  le bett   you gotta wait a minute  wait a minute oh  yeah  mr  postman  wait a minute  wait a minute oh  yeah  oooooooo  mr  postman  you gotta wait a minute  wait a minute  aaaaaah    oh  yeah  mr  postman  you gotta wait  wait a minute oh  yeah  mr  postman   you gotta wait  wait a minute,The Beatles,369,10,0,0,6.5
21,Roll Over Beethoven,we're gonna write a little letter gonna mail it to my local dj it's a rockin' little record i want my jockey to play roll over  beethoven gotta hit it again today  you know  my temperature's risin' and the jukebox blown a fuse my heart beatin' rhythm and my soul keeps a singing the blues roll over  beethoven and tell tchaikovsky the news  i got a rockin' pneumonia i need a shot of rhythm and blues i think i caught it off the writer sittin' down by the rhythm revues roll over  beethoven rockin' in two by two  well  if you feel it and like it well  get your lover and reel and rock it roll it over and move on up just a trifle further and a reel and rock it roll it over roll over  beethoven a rockin' in two by two  well  early in the mornin' i'm a givin' you the warnin' don't you step on my blue suede shoes hey  diddle  diddle i'm a playin' my fiddle ain't got nothing to lose roll over  beethoven and tell tchaikovsky the news  you know she winks like a glow worm dives like a spinnin' top she's got a crazy partner oughta see him reel an' rock 's long as she got a dime the music will never stop  well  roll over  beethoven yeah  roll over  beethoven roll over  beethoven oh  roll over  beethoven roll over  beethoven dig to these rhythm and blues,The Beatles,268,7,0,0,6.42857142857
22,Hold Me Tight,it feels so right now hold me tight tell me i'm the only one and then i might never be the lonely one  so hold  hold  me tight  me tight  tonight  tonight   tonight  tonight  it's you you  you  you  hold me tight let me go on loving you tonight  tonight making love to only you  so hold  hold  me tight  me tight  tonight  tonight   tonight  tonight  it's you you  you  you  don't know what it means to hold you tight being here alone tonight with you  it feels so right now hold me tight tell me i'm the only one and then i might never be the lonely one  so hold  hold  me tight  me tight  a tonight  tonight   tonight  tonight  it's you you  you  you  don't know what it means to hold you tight being here alone tonight with you  it feels so right now hold me tight let me go on loving you tonight  tonight making love to only you  so hold  hold  a me tight  me tight  tonight  tonight   tonight  tonight  it's you you  you  you,The Beatles,187,4,2,3,4.25
23,You Really Got A Hold On Me,i don't like you but i love you seems that i'm always thinking of you oh  you treat me badly i love you madly  you've really got a hold on me  you really got a hold on me  you really got a hold on me  you really got a hold on me   baby  i don't want you but i need you don't want to kiss you but i need to oh  you do me wrong now my love is strong now  you've really got a hold on me  you really got a hold on me  you really got a hold on me  you really got a hold on me   baby  i love you and all that i want you to do is just hold me  hold me  hold me  hold me  tighter tighter i want to leave you don't want to stay here don't want to spend another day here oh  i want to split now i just can't quit now  you've really got a hold on me  you really got a hold on me  you really got a hold on me  you really got a hold on me   baby  i love you and all that i want you to do is just hold me  please   hold me  squeeze   hold me  hold me  you've really got a hold on me  you really got a hold on me  you've really got a hold on me  you really got a hold on me ,The Beatles,253,6,3,4,4.66666666667
24,Devil In Her Heart,she's got the devil in her heart but her eyes they tantalise she's gonna tear your heart apart oh  her lips  they really thrill me  i'll take my chances for romance is so important to me she'll never hurt me she won't desert me she's an angel sent to me  she's got the devil in her heart no  no  this i can't believe she's gonna tear your heart apart no  no  nay will she deceive  i can't believe that she'll ever ever go not when she hugs me and says she loves me so she'll never hurt me she won't desert me listen  can't you see   she's got the devil in her heart oh  no  no  no  this i can't believe she's gonna tear your heart apart no  no  nay will she deceive  don't take chances if your romance is so important to you she'll never hurt me she won't desert me she's an angel sent to me  she's got the devil in her heart oh  no  no  no  no  this i can't believe she's gonna tear your heart apart no  no  nay will she deceive  she's got the devil in her heart no  she's an angel sent to me she's got the devil in her heart no  she's an angel sent to me,The Beatles,246,8,0,0,4.625
25,Not A Second Time,you know you made me cry i see no use in wondering why i cry for you  and now you've changed your mind i see no reason to change mine i cry it's through you're giving me the same old line i'm wond'ring why you hurt me then you're back again no  no  no not a second time  you know you made me cry i see no use in wondering why i cry for you  and now you've changed your mind i see no reason to change mine i cry it's through  you're giving me the same old line i'm wond'ring why you hurt me then you're back again no  no  no not a second time not a second time not a second time no  no  no  no  no no  no no  not a second time  no  no  no  no  no,The Beatles,151,3,2,3,8.33333333333
26,Money (That's What I Want),the best things in life are free but you can keep 'em for the birds and bees  now give me money  that's what i want  that's what i want  that's what i want  that's what i want  that's what i want   yeah that's what i want  your lovin' give me a thrill but your lovin' don't pay my bills  now give me money  that's what i want  that's what i want  that's what i want  that's what i want  that's what i want   oh  yeah that's what i want  money don't get everything  it's true what it don't get  i can't use  now give me money  that's what i want  that's what i want  that's what i want  that's what i want  that's what i want   yeah that's what i want  money don't get everything  it's true what it don't get  i can't use now give me money  that's what i want  that's what i want  that's what i want  that's what i want  that's what i want   yeah that's what i want  well  now give me money  that's what i want  a lot of money  that's what i want  wow  yeah  i wanna be free  that's what i want  oh  a lot of money  that's what i want  oh  that's what i want  that's what i want   yeah that's what i want  well  now give me money  that's what i want  a lot of money  that's what i want  oh  wow  yeah  you don't need money  that's what i want  oh  now give me money  that's what i want  oh  that's what i want  that's what i want   yeah that's what i want,The Beatles,325,7,2,4,4.0
27,A Hard Day's Night,it's been a hard day's night and i've been working like a dog it's been a hard day's night i should be sleeping like a log  but when i get home to you i find the things that you do will make me feel all right  you know i work all day to get you money to buy you things and it's worth it just to hear you say you're gonna give me everything  so why on earth should i moan  'cause when i get you alone you know i'll feel okay  when i'm home everything seems to be right when i'm home feeling you holding me tight tight  yeah  it's been a hard day's night and i've been working like a dog it's been a hard day's night i should be sleeping like a log  but when i get home to you i find the things that you do will make me feel all right ow   so why on earth should i moan  'cause when i get you alone you know i feel okay  when i'm home everything seems to be right when i'm home feeling you holding me tight tight  yeah  ooh  it's been a hard day's night and i've been working like a dog it's been a hard day's night i should be sleeping like a log  but when i get home to you i find the things that you do will make me feel all right you know  i feel all right you know  i feel all right,The Beatles,275,7,2,5,3.71428571429
28,I Should Have Known Better,i should have known better with a girl like you that i would love everything that you do and i do  hey hey hey  and i do  whoa  whoa  i never realised what a kiss could be this could only happen to me can't you see  can't you see   that when i tell you that i love you  oh you're gonna say you love me too  oh and when i ask you to be mine you're gonna say you love me too  so i should have realised a lot of things before if this is love you gotta give me more give me more  hey hey hey  give me more  whoa  whoa  i never realised what a kiss could be this could only happen to me can't you see  can't you see   that when i tell you that i love you  oh you're gonna say you love me too  oh and when i ask you to be mine you're gonna say you love me too you love me too you love me too you love me too,The Beatles,190,4,2,3,4.25
29,If I Fell,if i fell in love with you would you promise to be true and help me understand  'cause i've been in love before and i found that love was more than just holding hands  if i give my heart to you i must be sure from the very start that you would love me more than her  if i trust in you oh  please don't run and hide if i love you too oh  please don't hurt my pride like her 'cause i couldn't stand the pain and i would be sad if our new love was in vain  so i hope you see that i would love to love you and that she will cry when she learns we are two 'cause i couldn't stand the pain and i would be sad if our new love was in vain  so i hope you see that i would love to love you and that she will cry when she learns we are two if i fell in love with you,The Beatles,175,5,0,0,7.6
30,I'm Happy Just To Dance With You,before this dance is through i think i'll love you too i'm so happy when you dance with me  i don't wanna kiss or hold your hand if it's funny  try and understand there is really nothing else i'd rather do 'cause i'm happy just to dance with you  i don't need to hug or hold you tight i just wanna dance with you all night in this world there's nothing i would rather do 'cause i'm happy just to dance with you  just to dance with you is everything i need  oh oh  before this dance is through  oh  i think i'll love you too  oh oh  i'm so happy when you dance with me  oh oh ohh   if somebody tries to take my place let's pretend we just can't see his face in this world there's nothing i would rather do 'cause i'm happy just to dance with you  just to dance with you  oh oh  is everything i need  oh oh  before this dance is through  oh  i think i'll love you too  oh oh  i'm so happy when you dance with me  oh oh ohh   if somebody tries to take my place let's pretend we just can't see his face in this world there's nothing i would rather do i've discovered i'm in love with you  oh  'cause i'm happy just to dance with you  oh oh   oh oh   oh ,The Beatles,259,7,0,0,4.85714285714
31,And I Love Her,i give her all my love  that's all i do and if you saw my love  you'd love her too i love her  she gives me everything and tenderly the kiss my lover brings  she brings to me and i love her  a love like ours could never die as long as i have you near me  bright are the stars that shine  dark is the sky i know this love of mine will never die and i love her  bright are the stars that shine  dark is the sky i know this love of mine will never die and i love her,The Beatles,105,3,2,3,2.66666666667
32,Tell Me Why,tell me why you cried and why you lied to me tell me why you cried and why you lied to me  well  i gave you everything i had but you left me sitting on my own did you have to treat me oh so bad  all i do is hang my head and moan  tell me why you cried and why you lied to me tell me why you cried and why you lied to me  if it's something i'd have said or done tell me what and i'll apologise if you don't  i really can't go on holding back these tears in my eyes  tell me why you cried and why you lied to me tell me why you cried and why you lied to me  well  i beggin' on my bended knees if you'll only listen to my please is there anything that i can do  'cause i really can't stand it  i'm so in love with you  tell me why you cried and why you lied to me tell me why you cried and why you lied to me,The Beatles,192,3,4,4,4.0
33,Can't Buy Me Love,can't buy me love  oh love  oh can't buy me love  oh  i'll buy you a diamond ring  my friend if it makes you feel all right i'll get you anything my friend if it makes you feel all right  'cause i don't care too much for money for money can't buy me love  i'll give you all i've got to give if you say you love me too i may not have a lot to give but what i got i'll give to you  i don't care too much for money for money can't buy me love  can't buy me love  oh everybody tells me so can't buy me love  oh no  no  no  no  say you don't need no diamond rings and i'll be satisfied tell me that you want the kind of things that money just can't buy  i don't care too much for money money can't buy me love  ow  buy me love everybody tells me so can't buy me love  oh no  no  no  no  say you don't need no diamond rings and i'll be satisfied tell me that you want the kind of things that money just can't buy  i don't care too much for money money can't buy me love  can't buy me love  oh love  oh buy me love  oh,The Beatles,243,10,2,4,3.0
34,Any Time At All,any time at all any time at all any time at all all you gotta do is call and i'll be there  if you need somebody to love just look into my eyes i'll be there to make you feel right if you're feeling sorry and sad i'd really sympathise don't you be sad just call me tonight  any time at all any time at all any time at all all you gotta do is call and i'll be there  if the sun has faded away i'll try to make it shine there is nothing i won't do when you need a shoulder to cry on i hope it will be mine call me tonight and i'll come to you  any time at all any time at all any time at all all you gotta do is call and i'll be there  any time at all any time at all any time at all all you gotta do is call and i'll be there  any time at all all you gotta do is call and i'll be there,The Beatles,195,3,4,5,5.33333333333
35,I'll Cry Instead,i've got every reason on earth to be mad 'cause i just lost the only girl i had if i could get my way i'd get myself locked up today but i can't  so i'll cry instead  i've got a chip on my shoulder that's bigger than my feet i can't talk to people that i meet if i could see you now i'd try to make you sad somehow but i can't  so i'll cry instead  don't want to cry when there's people there i get shy when they start to stare i'm gonna hide myself away but i'll come back again someday  and when i do  you'd better hide all the girls i'm gonna break their hearts all 'round the world yes  i'm gonna break 'em in two and show you what your loving man can do until then  i'll cry instead  don't want to cry when there's people there i get shy when they start to stare i'm gonna hide myself away but i'll come back again someday  and when i do  you'd better hide all the girls 'cause i'm gonna break their hearts all 'round the world yes  i'm gonna break 'em in two and show you what your loving man can do until then  i'll cry instead,The Beatles,244,4,2,4,5.0
36,Things We Said Today,you say you will love me if i have to go you'll be thinking of me somehow i will know someday when i'm lonely wishing you weren't so far away then i will remember things we said today  you say you'll be mine  girl till the end of time these days such a kind girl seems so hard to find someday when we're dreaming deep in love  not a lot to say then we will remember things we said today  me  i'm just the lucky kind love to hear you say that love is love and though we may be blind love is here to stay and that's enough  to make you mine  girl be the only one love me all the time  girl we'll go on and on  some day when we're dreaming deep in love not a lot to say then we will remember things we said today  me  i'm just the lucky kind love to hear you say that love is love and though we may be blind love is here to stay and that's enough  to make you mine  girl be the only one love me all the time  girl we'll go on and on  some day when we're dreaming deep in love  not a lot to say then we will remember things we said today,The Beatles,233,4,2,4,6.0
37,When I Get Home,whoa  i whoa  i i got a whole lot of thing to tell her when i get home  come on  out my way 'cos i'm a gonna see my baby today i got a whole lot of things i gotta say to her  whoa  i whoa  i i got a whole lot of things to tell her when i get home  come on  if you please i got no time for triviality i got a girl who's waiting home for me tonight  whoa  i whoa  i i got a whole lot of thing to tell her when i get home  when i get'n home tonight i'm gonna hold her tight i'm gonna love her till the cows come home i bet'n i'll love her more till i walk out that door again  come on  let me through i got so many things i gotta do i got no business being here with you this way  whoa  i whoa  i i got a whole lot of things to tell her when i get home  yeah i got a whole lot of thing to tell her when i get home,The Beatles,198,6,2,4,4.66666666667
38,You Can't Do That,i got something to say that might cause you pain if i catch you talking to that boy again i'm gonna let you down and leave you flat because i told you before oh  you can't do that  well  it's the second time i've caught you talking to him do i have to tell you one more time i think it's a sin  i think i'll let you down  let you down  and leave you flat  gonna let you down and leave you flat  because i told you before oh  you can't do that  everybody's green 'cos i'm the one who won your love but if they'd seen you talking that way they'd laugh in my face  so  please listen to me if you want to stay mine i can't help my feelings i'd go out of my mind i'm gonna let you down  let you down  and leave you flat  gonna let you down and leave you flat  because i told you before oh  you can't do that  you can't do that  everybody's green 'cos i'm the one who won your love but if they'd seen you talking that way they'd laugh in my face  so  please listen to me if you want to stay mine i can't help my feelings i'd go out of my mind i'll go and let you down  let you down  and leave you flat  gonna let you down and leave you flat  because i told you before oh  you can't do that,The Beatles,278,5,2,5,6.6
39,I'll Be Back,you know  if you break my heart i'll go but i'll be back again 'cause i told you once before goodbye but i came back again  i love you so i'm the one who wants you yes  i'm the one who wants you  oh  you could find better things to do than to break my heart again this time i will try to show that i'm not trying to pretend  i thought that you would realize that if i ran away from you that you would want me  too but i got a big surprise  oh  you could find better things to do than to break my heart again this time i will try to show that i'm not trying to pretend  i want to go but i hate to leave you you know i hate to leave you  oh  you  if you break my heart  i'll go but i'll be back again,The Beatles,161,5,2,4,3.2
40,No Reply,this happened once before when i came to your door no reply they said it wasn't you  but i saw you peep through your window  i saw the light i saw the light i know that you saw me 'cause i looked up to see your face  i tried to telephone  they said you were not home that's a lie 'cause i know where you've been and i saw you walk in your door  i nearly died i nearly died 'cause you walked hand in hand with another man in my place  if i were you i'd realise that i love you more than any other guy and i'll forgive the lies that i heard before when you gave me no reply  i've tried to telephone  they said you were not home that's a lie 'cause i know where you've been and i saw you walk in your door  i nearly died i nearly died 'cause you walked hand in hand with another man in my place  no reply no reply,The Beatles,179,8,0,0,3.75
